class_name,subtype,source_path,output_path,augmentation,parameters_json
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/small_rotation/root/IMG_5505__small_rotation.jpg,small_rotation,"{""angle_degrees"": 6.7673}"
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5505__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/brightness/root/IMG_5505__brightness.jpg,brightness,"{""factor"": 1.05}"
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/contrast/root/IMG_5505__contrast.jpg,contrast,"{""factor"": 1.104}"
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/saturation/root/IMG_5505__saturation.jpg,saturation,"{""factor"": 0.9216}"
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5505__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0274, ""shift_y_fraction"": 0.0108, ""zoom"": 1.0412}"
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/small_rotation/root/IMG_5506__small_rotation.jpg,small_rotation,"{""angle_degrees"": -3.3103}"
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5506__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/brightness/root/IMG_5506__brightness.jpg,brightness,"{""factor"": 0.8575}"
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/contrast/root/IMG_5506__contrast.jpg,contrast,"{""factor"": 1.0387}"
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/saturation/root/IMG_5506__saturation.jpg,saturation,"{""factor"": 1.0978}"
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5506__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0245, ""shift_y_fraction"": -0.009, ""zoom"": 1.0272}"
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/small_rotation/root/IMG_5507__small_rotation.jpg,small_rotation,"{""angle_degrees"": 6.8026}"
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5507__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/brightness/root/IMG_5507__brightness.jpg,brightness,"{""factor"": 1.0189}"
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/contrast/root/IMG_5507__contrast.jpg,contrast,"{""factor"": 1.0632}"
