class_name,subtype,path,sha256,width,height,aspect_ratio,blur_score,mean_brightness,quality_warning,exact_duplicate_of
Foam-Heavy,root,Foam-Heavy/IMG_5505.png,6860d72e183dce43a5db5b40ede754535d77c93a08b958c886d49a992ffb7790,3024,4032,0.75,135.731,119.8,,
Foam-Heavy,root,Foam-Heavy/IMG_5506.png,5545c91f65ab7524287c01bde159a397f3f6c1bef920bb2d7c0e38bdc0822835,3024,4032,0.75,105.99,119.185,,
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,660522d0bff159909bc17fc872bc95aef04572c67bc2c7cae7f0aa3ca86bd4ab,3024,4032,0.75,161.185,121.055,,
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,9652e9f9674a9c4b1adc8644eb53f96ee45ff2587f07e282305c3b0892d17d3d,3024,4032,0.75,259.348,116.87,,
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,d0723f69c38c4dda4e6508edfa99b4bb594f7618be872b51057d91a16832c3b8,3024,4032,0.75,114.88,119.965,,
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,28259fb525a63aa52120758342cb58ca5bc9e4750300997b729e3fda6c31c980,3024,4032,0.75,94.519,124.156,,
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,f4728257ad8941ecfcfd10d6fa3a39609014808190265e128eef7f1d743fd2a6,3024,4032,0.75,260.514,116.642,,
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,af46ec779de6d4a977caa75f8c4cec93f72ea0cedb373d0130781d7553e392db,3024,4032,0.75,162.342,119.449,,
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,09ee92bbe2d375ef0775f09ea62fedd112e639dda384ae5babbf0ac79bdaf7d6,3024,4032,0.75,128.736,120.255,,
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,efcae55fdf5ac39ca62f2c42b5aee6b0b5c5923aa7a0289e1999fd35114aab3c,3024,4032,0.75,120.394,119.887,,
