class_name,image_a,image_b,dhash_distance
Foam-Heavy,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,4
Foam-Heavy,Foam-Heavy/WIN_20260707_13_40_05_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_07_Pro.jpg,2
Foam-Heavy,Foam-Heavy/WIN_20260707_13_40_07_Pro.jpg,Foam-Heavy/WIN_20260707_13_40_15_Pro.jpg,4
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0001.jpg,1
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0002.jpg,2
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0003.jpg,2
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0004.jpg,2
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0005.jpg,2
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0006.jpg,2
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0007.jpg,3
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0000.jpg,Foam-Heavy/frame_0014.jpg,4
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0002.jpg,1
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0003.jpg,1
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0004.jpg,1
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0005.jpg,1
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0006.jpg,1
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0007.jpg,2
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0008.jpg,4
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0012.jpg,3
Foam-Heavy,Foam-Heavy/frame_0001.jpg,Foam-Heavy/frame_0013.jpg,4
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0003.jpg,0
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0004.jpg,0
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0005.jpg,0
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0006.jpg,0
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0007.jpg,1
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0008.jpg,3
Foam-Heavy,Foam-Heavy/frame_0002.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0004.jpg,0
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0005.jpg,0
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0006.jpg,0
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0007.jpg,1
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0008.jpg,3
Foam-Heavy,Foam-Heavy/frame_0003.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0004.jpg,Foam-Heavy/frame_0005.jpg,0
Foam-Heavy,Foam-Heavy/frame_0004.jpg,Foam-Heavy/frame_0006.jpg,0
Foam-Heavy,Foam-Heavy/frame_0004.jpg,Foam-Heavy/frame_0007.jpg,1
Foam-Heavy,Foam-Heavy/frame_0004.jpg,Foam-Heavy/frame_0008.jpg,3
Foam-Heavy,Foam-Heavy/frame_0004.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0005.jpg,Foam-Heavy/frame_0006.jpg,0
Foam-Heavy,Foam-Heavy/frame_0005.jpg,Foam-Heavy/frame_0007.jpg,1
Foam-Heavy,Foam-Heavy/frame_0005.jpg,Foam-Heavy/frame_0008.jpg,3
Foam-Heavy,Foam-Heavy/frame_0005.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0006.jpg,Foam-Heavy/frame_0007.jpg,1
Foam-Heavy,Foam-Heavy/frame_0006.jpg,Foam-Heavy/frame_0008.jpg,3
Foam-Heavy,Foam-Heavy/frame_0006.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0008.jpg,2
Foam-Heavy,Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0010.jpg,4
Foam-Heavy,Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0011.jpg,4
Foam-Heavy,Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0012.jpg,3
Foam-Heavy,Foam-Heavy/frame_0007.jpg,Foam-Heavy/frame_0013.jpg,4
Foam-Heavy,Foam-Heavy/frame_0008.jpg,Foam-Heavy/frame_0010.jpg,2
Foam-Heavy,Foam-Heavy/frame_0008.jpg,Foam-Heavy/frame_0011.jpg,4
Foam-Heavy,Foam-Heavy/frame_0009.jpg,Foam-Heavy/frame_0010.jpg,3
Foam-Heavy,Foam-Heavy/frame_0009.jpg,Foam-Heavy/frame_0011.jpg,1
Foam-Heavy,Foam-Heavy/frame_0009.jpg,Foam-Heavy/frame_0012.jpg,4
Foam-Heavy,Foam-Heavy/frame_0010.jpg,Foam-Heavy/frame_0011.jpg,2
Foam-Heavy,Foam-Heavy/frame_0010.jpg,Foam-Heavy/frame_0012.jpg,3
Foam-Heavy,Foam-Heavy/frame_0010.jpg,Foam-Heavy/frame_0013.jpg,4
Foam-Heavy,Foam-Heavy/frame_0011.jpg,Foam-Heavy/frame_0012.jpg,3
Foam-Heavy,Foam-Heavy/frame_0011.jpg,Foam-Heavy/frame_0013.jpg,4
Foam-Heavy,Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0013.jpg,1
Foam-Heavy,Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0014.jpg,2
Foam-Heavy,Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0015.jpg,3
Foam-Heavy,Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0016.jpg,4
Foam-Heavy,Foam-Heavy/frame_0012.jpg,Foam-Heavy/frame_0019.jpg,4
Foam-Heavy,Foam-Heavy/frame_0013.jpg,Foam-Heavy/frame_0014.jpg,1
Foam-Heavy,Foam-Heavy/frame_0013.jpg,Foam-Heavy/frame_0015.jpg,2
Foam-Heavy,Foam-Heavy/frame_0014.jpg,Foam-Heavy/frame_0015.jpg,1
Foam-Heavy,Foam-Heavy/frame_0014.jpg,Foam-Heavy/frame_0016.jpg,4
Foam-Heavy,Foam-Heavy/frame_0014.jpg,Foam-Heavy/frame_0019.jpg,4
Foam-Heavy,Foam-Heavy/frame_0015.jpg,Foam-Heavy/frame_0016.jpg,3
Foam-Heavy,Foam-Heavy/frame_0015.jpg,Foam-Heavy/frame_0017.jpg,4
Foam-Heavy,Foam-Heavy/frame_0015.jpg,Foam-Heavy/frame_0019.jpg,3
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0017.jpg,1
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0018.jpg,2
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0019.jpg,0
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0020.jpg,3
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0021.jpg,3
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0022.jpg,4
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0023.jpg,3
Foam-Heavy,Foam-Heavy/frame_0016.jpg,Foam-Heavy/frame_0025.jpg,4
Foam-Heavy,Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0018.jpg,1
Foam-Heavy,Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0019.jpg,1
Foam-Heavy,Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0020.jpg,4
Foam-Heavy,Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0021.jpg,4
Foam-Heavy,Foam-Heavy/frame_0017.jpg,Foam-Heavy/frame_0023.jpg,4
Foam-Heavy,Foam-Heavy/frame_0018.jpg,Foam-Heavy/frame_0019.jpg,2
Foam-Heavy,Foam-Heavy/frame_0019.jpg,Foam-Heavy/frame_0020.jpg,3
Foam-Heavy,Foam-Heavy/frame_0019.jpg,Foam-Heavy/frame_0021.jpg,3
Foam-Heavy,Foam-Heavy/frame_0019.jpg,Foam-Heavy/frame_0022.jpg,4
Foam-Heavy,Foam-Heavy/frame_0019.jpg,Foam-Heavy/frame_0023.jpg,3
Foam-Heavy,Foam-Heavy/frame_0019.jpg,Foam-Heavy/frame_0025.jpg,4
Foam-Heavy,Foam-Heavy/frame_0020.jpg,Foam-Heavy/frame_0021.jpg,0
Foam-Heavy,Foam-Heavy/frame_0020.jpg,Foam-Heavy/frame_0022.jpg,1
Foam-Heavy,Foam-Heavy/frame_0020.jpg,Foam-Heavy/frame_0023.jpg,2
Foam-Heavy,Foam-Heavy/frame_0020.jpg,Foam-Heavy/frame_0024.jpg,4
Foam-Heavy,Foam-Heavy/frame_0020.jpg,Foam-Heavy/frame_0026.jpg,4
Foam-Heavy,Foam-Heavy/frame_0021.jpg,Foam-Heavy/frame_0022.jpg,1
Foam-Heavy,Foam-Heavy/frame_0021.jpg,Foam-Heavy/frame_0023.jpg,2
Foam-Heavy,Foam-Heavy/frame_0021.jpg,Foam-Heavy/frame_0024.jpg,4
Foam-Heavy,Foam-Heavy/frame_0021.jpg,Foam-Heavy/frame_0026.jpg,4
Foam-Heavy,Foam-Heavy/frame_0022.jpg,Foam-Heavy/frame_0023.jpg,1
Foam-Heavy,Foam-Heavy/frame_0022.jpg,Foam-Heavy/frame_0024.jpg,3
Foam-Heavy,Foam-Heavy/frame_0022.jpg,Foam-Heavy/frame_0025.jpg,4
Foam-Heavy,Foam-Heavy/frame_0022.jpg,Foam-Heavy/frame_0026.jpg,3
Foam-Heavy,Foam-Heavy/frame_0023.jpg,Foam-Heavy/frame_0024.jpg,2
Foam-Heavy,Foam-Heavy/frame_0023.jpg,Foam-Heavy/frame_0025.jpg,3
Foam-Heavy,Foam-Heavy/frame_0023.jpg,Foam-Heavy/frame_0026.jpg,4
Foam-Heavy,Foam-Heavy/frame_0024.jpg,Foam-Heavy/frame_0025.jpg,1
Foam-Heavy,Foam-Heavy/frame_0024.jpg,Foam-Heavy/frame_0026.jpg,2
Foam-Heavy,Foam-Heavy/frame_0025.jpg,Foam-Heavy/frame_0026.jpg,3
Foam-Heavy,Foam-Heavy/frame_0028.jpg,Foam-Heavy/frame_0029.jpg,2
Foam-Heavy,Foam-Heavy/frame_0029.jpg,Foam-Heavy/frame_0030.jpg,4
Foam-Heavy,Foam-Heavy/frame_0030.jpg,Foam-Heavy/frame_0031.jpg,4
Foam-Heavy,Foam-Heavy/frame_0034.jpg,Foam-Heavy/frame_0035.jpg,3
Foam-Heavy,Foam-Heavy/frame_0039.jpg,Foam-Heavy/frame_0040.jpg,4
Foam-Heavy,Foam-Heavy/frame_0047.jpg,Foam-Heavy/frame_0048.jpg,4
Foam-Heavy,Foam-Heavy/frame_0053.jpg,Foam-Heavy/frame_0054.jpg,4
Foam-Heavy,Foam-Heavy/frame_0055.jpg,Foam-Heavy/frame_0056.jpg,4
Foam-Heavy,Foam-Heavy/frame_0059.jpg,Foam-Heavy/frame_0060.jpg,3
Foam-Heavy,Foam-Heavy/frame_0062.jpg,Foam-Heavy/frame_0063.jpg,3
Foam-Heavy,Foam-Heavy/frame_0066.jpg,Foam-Heavy/frame_0067.jpg,4
Foam-Heavy,Foam-Heavy/frame_0074.jpg,Foam-Heavy/frame_0075.jpg,0
Foam-Heavy,Foam-Heavy/frame_0076.jpg,Foam-Heavy/frame_0078.jpg,4
Foam-Heavy,Foam-Heavy/frame_0077.jpg,Foam-Heavy/frame_0078.jpg,1
Foam-Heavy,Foam-Heavy/frame_0077.jpg,Foam-Heavy/frame_0079.jpg,4
Foam-Heavy,Foam-Heavy/frame_0078.jpg,Foam-Heavy/frame_0079.jpg,3
Foam-Heavy,Foam-Heavy/frame_0086.jpg,Foam-Heavy/frame_0087.jpg,4
Foam-Heavy,Foam-Heavy/frame_0088.jpg,Foam-Heavy/frame_0089.jpg,3
Foam-Heavy,Foam-Heavy/frame_0088.jpg,Foam-Heavy/frame_0090.jpg,4
Foam-Heavy,Foam-Heavy/frame_0089.jpg,Foam-Heavy/frame_0090.jpg,3
Foam-Heavy,Foam-Heavy/frame_0097.jpg,Foam-Heavy/frame_0098.jpg,3
Foam-Heavy,Foam-Heavy/frame_0101.jpg,Foam-Heavy/frame_0102.jpg,3
Foam-Heavy,Foam-Heavy/frame_0109.jpg,Foam-Heavy/frame_0110.jpg,4
Foam-Heavy,Foam-Heavy/frame_0111.jpg,Foam-Heavy/frame_0112.jpg,3
Foam-Heavy,Foam-Heavy/frame_0114.jpg,Foam-Heavy/frame_0115.jpg,4
